state,lat,lon
Johor,2.033737609,102.566597
Kedah,5.649718444,100.4793343
Kelantan,6.119973978,102.2299768
Melaka,2.206414407,102.2464615
Negeri Sembilan,2.710492166,101.9400203
Pahang,4.18400112,102.0420006
Perak,4.01185976,101.0314453
Perlis,6.433001991,100.1899987
Penang,5.417071146,100.4000109
Sabah,5.046396097,118.3359704
Sarawak,3.16640749,113.0359838
Selangor,3.066695996,101.5499977
Terengganu,4.233241596,103.4478869
Kuala Lumpur,3.139003,101.686852
Labuan,5.283145,115.230423
Putrajaya,2.926361,101.696445
