state,population,drug,lat,lon
Johor,32160.0,2081,2.033737609,102.566597
Kedah,17213.2,2196,5.649718444,100.4793343
Kelantan,14498.9,2167,6.119973978,102.2299768
Melaka,8036.0,539,2.206414407,102.2464615
Negeri Sembilan,9632.0,709,2.710492166,101.9400203
Pahang,12812.4,977,4.18400112,102.0420006
Perak,20125.9,1637,4.01185976,101.0314453
Perlis,2300.8,213,6.433001991,100.1899987
Penang,13919.0,1358,5.417071146,100.4000109
Sabah,27301.3,644,5.046396097,118.3359704
Sarawak,19724.6,712,3.16640749,113.0359838
Selangor,56119.1,1963,3.066695996,101.5499977
Terengganu,9366.0,2033,4.233241596,103.4478869
Kuala Lumpur,15711.8,857,3.139003,101.686852
Labuan,766.7,48,5.283145,115.230423
Putrajaya,920.6,71,2.926361,101.696445
