state,population,drug,lat,lon
Johor,32160.0,2081,1.937344,103.366585
Kedah,17213.2,2196,6.155672,100.569649
Kelantan,14498.9,2167,5.145506,101.654137
Melaka,8036.0,539,2.346257,102.253067
Negeri Sembilan,9632.0,709,2.879705,102.164253
Pahang,12812.4,977,3.974341,102.438057
Perak,20125.9,1637,4.69395,101.117577
Perlis,2300.8,213,6.443589,100.216599
Penang,13919.0,1358,5.285153,100.456238
Sabah,27301.3,644,5.420404,116.796783
Sarawak,19724.6,712,2.906356,113.082039
Selangor,56119.1,1963,3.509247,101.524803
Terengganu,9366.0,2033,5.3117,103.1324
Kuala Lumpur,15711.8,857,3.139003,101.686852
Labuan,766.7,48,5.283145,115.230423
Putrajaya,920.6,71,2.926361,101.696445
