year,state,population
1970,Johor,1325.6
1970,Kedah,989.5
1970,Kelantan,707.3
1970,Melaka,419.4
1970,Negeri Sembilan,500.4
1970,Pahang,523.8
1970,Perak,1631.5
1970,Perlis,125.5
1970,Pulau Pinang,808.6
1970,Sabah,698.1
1970,Sarawak,1037.0
1970,Selangor,1696.4
1970,Terengganu,418.8
1971,Johor,1355.4
1971,Kedah,1003.9
1971,Kelantan,723.6
1971,Melaka,424.9
1971,Negeri Sembilan,508.2
1971,Pahang,548.4
1971,Perak,1650.9
1971,Perlis,127.4
1971,Pulau Pinang,823.7
1971,Sabah,728.1
1971,Sarawak,1065.2
1971,Selangor,1770.9
1971,Terengganu,429.0
1972,Johor,1385.3
1972,Kedah,1017.3
1972,Kelantan,741.1
1972,Melaka,429.9
1972,Negeri Sembilan,515.9
1972,Pahang,574.0
1972,Perak,1669.3
1972,Perlis,129.7
1972,Pulau Pinang,838.9
1972,Sabah,759.5
1972,Sarawak,1094.3
1972,Selangor,1846.7
1972,Terengganu,439.5
1973,Johor,1414.5
1973,Kedah,1029.0
1973,Kelantan,759.5
1973,Melaka,434.2
1973,Negeri Sembilan,522.8
1973,Pahang,599.3
1973,Perak,1686.0
1973,Perlis,131.7
1973,Pulau Pinang,852.9
1973,Sabah,792.4
1973,Sarawak,1124.1
1973,Selangor,1922.4
1973,Terengganu,451.0
1974,Johor,1444.4
1974,Kedah,1041.1
1974,Kelantan,776.8
1974,Melaka,438.1
1974,Negeri Sembilan,530.0
1974,Pahang,626.0
1974,Perak,1702.7
1974,Perlis,133.8
1974,Pulau Pinang,866.7
1974,Sabah,826.9
1974,Sarawak,1154.7
1974,Selangor,1997.9
1974,Terengganu,462.0
1975,Johor,1477.0
1975,Kedah,1054.9
1975,Kelantan,796.1
1975,Melaka,443.1
1975,Negeri Sembilan,537.6
1975,Pahang,653.4
1975,Perak,1720.9
1975,Perlis,136.2
1975,Pulau Pinang,881.7
1975,Sabah,863.0
1975,Sarawak,1186.2
1975,Selangor,2075.3
1975,Terengganu,474.9
1976,Johor,1508.4
1976,Kedah,1065.4
1976,Kelantan,814.1
1976,Melaka,447.3
1976,Negeri Sembilan,544.3
1976,Pahang,680.4
1976,Perak,1736.7
1976,Perlis,138.3
1976,Pulau Pinang,896.4
1976,Sabah,898.1
1976,Sarawak,1217.5
1976,Selangor,2154.3
1976,Terengganu,486.9
1977,Johor,1541.9
1977,Kedah,1079.8
1977,Kelantan,834.2
1977,Melaka,452.1
1977,Negeri Sembilan,551.8
1977,Pahang,709.5
1977,Perak,1755.6
1977,Perlis,141.0
1977,Pulau Pinang,912.2
1977,Sabah,934.8
1977,Sarawak,1249.6
1977,Selangor,2237.7
1977,Terengganu,500.9
1978,Johor,1573.4
1978,Kedah,1090.9
1978,Kelantan,852.5
1978,Melaka,456.2
1978,Negeri Sembilan,558.7
